,ts_code,symbol,name,area,industry,list_date
2733,600118.SH,600118,中国卫星,北京,航空,19970908
2734,600119.SH,600119,长江投资,上海,仓储物流,19980115
2735,600120.SH,600120,浙江东方,浙江,多元金融,19971201
2736,600121.SH,600121,郑州煤电,河南,煤炭开采,19980107
2737,600122.SH,600122,ST宏图,江苏,其他商业,19980420
2738,600123.SH,600123,兰花科创,山西,煤炭开采,19981217
2739,600125.SH,600125,铁龙物流,辽宁,铁路,19980511
2740,600126.SH,600126,杭钢股份,浙江,普钢,19980311
2741,600127.SH,600127,金健米业,湖南,农业综合,19980506
2742,600128.SH,600128,弘业股份,江苏,商贸代理,19970901
2743,600129.SH,600129,太极集团,重庆,中成药,19971118
2744,600130.SH,600130,波导股份,浙江,通信设备,20000706
2745,600131.SH,600131,国网信通,四川,通信设备,19980402
2746,600132.SH,600132,重庆啤酒,重庆,啤酒,19971030
2747,600133.SH,600133,东湖高新,湖北,园区开发,19980212
2748,600135.SH,600135,乐凯胶片,河北,化工原料,19980122
2749,600136.SH,600136,ST明诚,湖北,影视音像,19980303
2750,600137.SH,600137,浪莎股份,四川,服饰,19980416
2751,600138.SH,600138,中青旅,北京,旅游服务,19971203
2752,600139.SH,600139,*ST西源,四川,综合类,19980225
2753,600141.SH,600141,兴发集团,湖北,农药化肥,19990616
2754,600143.SH,600143,金发科技,广东,塑料,20040623
2755,600148.SH,600148,长春一东,吉林,汽车配件,19980520
2756,600149.SH,600149,廊坊发展,河北,综合类,19991014
2757,600150.SH,600150,中国船舶,上海,船舶,19980520
2758,600151.SH,600151,航天机电,上海,汽车配件,19980605
2759,600152.SH,600152,维科技术,浙江,电气设备,19980609
2760,600153.SH,600153,建发股份,福建,仓储物流,19980616
2761,600155.SH,600155,华创阳安,北京,证券,19980918
2762,600156.SH,600156,华升股份,湖南,纺织,19980527
2763,600157.SH,600157,永泰能源,山西,火力发电,19980513
2764,600158.SH,600158,中体产业,天津,文教休闲,19980327
2765,600159.SH,600159,大龙地产,北京,区域地产,19980526
2766,600160.SH,600160,巨化股份,浙江,化工原料,19980626
2767,600161.SH,600161,天坛生物,北京,生物制药,19980616
2768,600162.SH,600162,香江控股,深圳,全国地产,19980609
2769,600163.SH,600163,中闽能源,福建,新型电力,19980602
2770,600165.SH,600165,新日恒力,宁夏,化工原料,19980529
2771,600166.SH,600166,福田汽车,北京,汽车整车,19980602
2772,600167.SH,600167,联美控股,辽宁,供气供热,19990128
2773,600168.SH,600168,武汉控股,湖北,水务,19980427
2774,600169.SH,600169,太原重工,山西,工程机械,19980904
2775,600170.SH,600170,上海建工,上海,建筑工程,19980623
2776,600171.SH,600171,上海贝岭,上海,半导体,19980924
2777,600172.SH,600172,黄河旋风,河南,矿物制品,19981126
2778,600173.SH,600173,卧龙地产,浙江,全国地产,19990415
2779,600176.SH,600176,中国巨石,浙江,玻璃,19990422
2780,600177.SH,600177,雅戈尔,浙江,服饰,19981119
2781,600178.SH,600178,东安动力,黑龙江,汽车配件,19981014
2782,600179.SH,600179,安通控股,黑龙江,仓储物流,19981104
2783,600180.SH,600180,瑞茂通,山东,仓储物流,19980703
2784,600182.SH,600182,S*ST佳通,黑龙江,汽车配件,19990507
2785,600183.SH,600183,生益科技,广东,元器件,19981028
2786,600184.SH,600184,光电股份,湖北,专用机械,20031106
2787,600185.SH,600185,格力地产,广东,区域地产,19990611
2788,600186.SH,600186,莲花健康,河南,食品,19980825
2789,600187.SH,600187,国中水务,黑龙江,水务,19981111
2790,600188.SH,600188,兖矿能源,山东,煤炭开采,19980701
2791,600189.SH,600189,泉阳泉,吉林,软饮料,19981007
2792,600190.SH,600190,锦州港,辽宁,港口,19990609
2793,600191.SH,600191,*ST华资,内蒙,食品,19981210
2794,600192.SH,600192,长城电工,甘肃,电气设备,19981224
2795,600193.SH,600193,创兴资源,上海,装修装饰,19990527
2796,600195.SH,600195,中牧股份,北京,农业综合,19990107
2797,600196.SH,600196,复星医药,上海,化学制药,19980807
2798,600197.SH,600197,伊力特,新疆,白酒,19990916
2799,600198.SH,600198,大唐电信,北京,通信设备,19981021
2800,600199.SH,600199,金种子酒,安徽,白酒,19980812
2801,600200.SH,600200,江苏吴中,江苏,化学制药,19990401
2802,600201.SH,600201,生物股份,内蒙,农业综合,19990115
2803,600202.SH,600202,哈空调,黑龙江,专用机械,19990603
2804,600203.SH,600203,福日电子,福建,元器件,19990514
2805,600206.SH,600206,有研新材,北京,半导体,19990319
2806,600207.SH,600207,安彩高科,河南,供气供热,19990714
2807,600208.SH,600208,新湖中宝,浙江,全国地产,19990623
2808,600210.SH,600210,紫江企业,上海,广告包装,19990824
2809,600211.SH,600211,西藏药业,西藏,中成药,19990721
2810,600212.SH,600212,绿能慧充,山东,综合类,19990817
2811,600213.SH,600213,亚星客车,江苏,汽车整车,19990831
2812,600215.SH,600215,派斯林,吉林,专用机械,19990909
2813,600216.SH,600216,浙江医药,浙江,化学制药,19991021
2814,600217.SH,600217,中再资环,陕西,环境保护,19991216
2815,600218.SH,600218,全柴动力,安徽,农用机械,19981203
2816,600219.SH,600219,南山铝业,山东,铝,19991223
2817,600220.SH,600220,江苏阳光,江苏,纺织,19990927
2818,600221.SH,600221,ST海航,海南,空运,19991125
2819,600222.SH,600222,太龙药业,河南,中成药,19991105
2820,600223.SH,600223,鲁商发展,山东,区域地产,20000113
2821,600225.SH,600225,天津松江,天津,区域地产,20000127
2822,600226.SH,600226,ST瀚叶,浙江,互联网,19991116
2823,600227.SH,600227,圣济堂,贵州,农药化肥,20000221
2824,600228.SH,600228,返利科技,江西,互联网,19990119
2825,600229.SH,600229,城市传媒,山东,出版业,20000309
2826,600230.SH,600230,沧州大化,河北,化工原料,20000406
2827,600231.SH,600231,凌钢股份,辽宁,普钢,20000511
2828,600232.SH,600232,金鹰股份,浙江,纺织,20000602
2829,600233.SH,600233,圆通速递,辽宁,仓储物流,20000608
2830,600234.SH,600234,科新发展,山西,综合类,20000615
2831,600235.SH,600235,民丰特纸,浙江,造纸,20000615
2832,600236.SH,600236,桂冠电力,广西,水力发电,20000323
2833,600237.SH,600237,铜峰电子,安徽,元器件,20000609
2834,600238.SH,600238,海南椰岛,海南,红黄酒,20000120
2835,600239.SH,600239,ST云城,云南,区域地产,19991202
2836,600241.SH,600241,ST时万,辽宁,电气设备,20001128
2837,600242.SH,600242,*ST中昌,广东,软件服务,20001207
